,APPOINTMENT_DATE,UNIQUE_PROVIDER_COUNT,EFFECTIVE_RATIO
0,2009-12-01,3,0.5555555555555556
1,2009-12-02,2,0.7058823529411765
2,2009-12-03,2,0.6
3,2009-12-04,2,0.6666666666666666
4,2009-12-05,2,0.5294117647058824
5,2009-12-06,2,0.7857142857142857
6,2009-12-07,2,0.65
7,2009-12-08,3,0.6
8,2009-12-09,2,0.6842105263157895
9,2009-12-10,2,0.5
10,2009-12-11,2,0.5833333333333334
11,2009-12-12,2,0.8333333333333334
12,2009-12-13,2,0.6923076923076923
13,2009-12-14,3,0.6818181818181818
14,2009-12-15,3,0.7222222222222222
15,2009-12-16,2,0.7647058823529411
16,2009-12-17,3,0.5263157894736842
17,2009-12-18,2,0.625
18,2009-12-19,2,0.6666666666666666
19,2009-12-20,2,0.6111111111111112
20,2009-12-21,3,0.7
21,2009-12-22,3,1.0
22,2009-12-23,2,0.6086956521739131
23,2009-12-24,2,0.5555555555555556
24,2009-12-25,2,0.8823529411764706
25,2009-12-26,2,0.8888888888888888
26,2009-12-27,2,0.8888888888888888
27,2009-12-28,3,0.7727272727272727
28,2009-12-29,3,0.6363636363636364
29,2009-12-30,2,0.7
30,2009-12-31,2,0.7142857142857143
31,2010-01-01,3,0.7878787878787878
32,2010-01-02,5,0.36363636363636365
33,2010-01-03,2,0.6111111111111112
34,2010-01-04,3,0.7894736842105263
35,2010-01-05,3,0.7391304347826086
36,2010-01-06,2,0.7368421052631579
37,2010-01-07,2,0.7916666666666666
38,2010-01-08,2,0.5909090909090909
39,2010-01-09,2,0.8571428571428571
40,2010-01-10,2,0.5625
41,2010-01-11,5,0.7
42,2010-01-12,4,0.47368421052631576
43,2010-01-13,3,0.6153846153846154
44,2010-01-14,3,0.6538461538461539
45,2010-01-15,3,0.5172413793103449
46,2010-01-16,2,0.65
47,2010-01-17,3,0.9
48,2010-01-18,4,0.8571428571428571
49,2010-01-19,4,0.6956521739130435
50,2010-01-20,3,0.782608695652174
51,2010-01-21,3,0.7222222222222222
52,2010-01-22,2,0.7058823529411765
53,2010-01-23,2,0.55
54,2010-01-24,2,0.5714285714285714
55,2010-01-25,4,0.7894736842105263
56,2010-01-26,4,0.7058823529411765
57,2010-01-27,3,0.5714285714285714
58,2010-01-28,3,0.6296296296296297
59,2010-01-29,3,0.6956521739130435
60,2010-01-30,2,0.7222222222222222
61,2010-01-31,2,0.7142857142857143
62,2010-02-01,4,0.7727272727272727
63,2010-02-02,4,0.5666666666666667
64,2010-02-03,3,0.6521739130434783
65,2010-02-04,3,0.72
66,2010-02-05,3,0.7241379310344828
67,2010-02-06,2,0.8
68,2010-02-07,3,0.6842105263157895
69,2010-02-08,4,0.5
70,2010-02-09,4,0.7083333333333334
71,2010-02-10,3,0.8888888888888888
72,2010-02-11,3,0.6071428571428571
73,2010-02-12,3,0.6666666666666666
74,2010-02-13,2,0.65
75,2010-02-14,2,0.85
76,2010-02-15,3,0.6111111111111112
77,2010-02-16,4,0.6153846153846154
78,2010-02-17,3,0.5862068965517241
79,2010-02-18,3,0.6470588235294118
80,2010-02-19,3,0.5517241379310345
81,2010-02-20,3,0.7037037037037037
82,2010-02-21,2,0.5
83,2010-02-22,4,0.8285714285714286
84,2010-02-23,5,0.625
85,2010-02-24,3,0.7916666666666666
86,2010-02-25,3,0.7586206896551724
87,2010-02-26,4,0.6
88,2010-02-27,2,0.9
89,2010-02-28,2,0.5
90,2010-03-01,5,0.6764705882352942
91,2010-03-02,4,0.7777777777777778
92,2010-03-03,3,0.5769230769230769
93,2010-03-04,3,0.7142857142857143
94,2010-03-05,3,0.7586206896551724
95,2010-03-06,2,0.85
96,2010-03-07,2,0.65
97,2010-03-08,4,0.68
98,2010-03-09,4,0.6923076923076923
99,2010-03-10,3,0.5555555555555556
100,2010-03-11,3,0.7037037037037037
101,2010-03-12,3,0.7586206896551724
102,2010-03-13,2,0.7222222222222222
103,2010-03-14,2,0.4444444444444444
104,2010-03-15,4,0.6551724137931034
105,2010-03-16,4,0.7
106,2010-03-17,3,0.7692307692307693
107,2010-03-18,3,0.6521739130434783
108,2010-03-19,3,0.6071428571428571
109,2010-03-20,2,0.6
110,2010-03-21,2,0.7
111,2010-03-22,4,0.7407407407407407
112,2010-03-23,5,0.52
113,2010-03-24,3,0.7307692307692307
114,2010-03-25,3,0.6538461538461539
115,2010-03-26,3,0.6363636363636364
116,2010-03-27,2,0.85
117,2010-03-28,2,0.65
118,2010-03-29,4,0.6666666666666666
119,2010-03-30,4,0.6875
120,2010-03-31,3,0.3125
121,2010-04-01,3,0.8095238095238095
122,2010-04-02,3,0.8
123,2010-04-03,2,0.65
124,2010-04-04,2,0.6666666666666666
125,2010-04-05,4,0.6
126,2010-04-06,4,0.7368421052631579
127,2010-04-07,3,0.6666666666666666
128,2010-04-08,3,0.7368421052631579
129,2010-04-09,3,0.7241379310344828
130,2010-04-10,2,0.6
131,2010-04-11,2,0.55
132,2010-04-12,4,0.7777777777777778
133,2010-04-13,4,0.6666666666666666
134,2010-04-14,3,0.6842105263157895
135,2010-04-15,3,0.6190476190476191
136,2010-04-16,3,0.5909090909090909
137,2010-04-17,2,0.5789473684210527
138,2010-04-18,2,0.7
139,2010-04-19,5,0.6333333333333333
140,2010-04-20,4,0.8
141,2010-04-21,3,0.5925925925925926
142,2010-04-22,3,0.631578947368421
143,2010-04-23,3,0.5357142857142857
144,2010-04-24,2,0.65
145,2010-04-25,2,0.7142857142857143
146,2010-04-26,4,0.625
147,2010-04-27,4,0.8666666666666667
148,2010-04-28,3,0.47368421052631576
149,2010-04-29,3,0.6071428571428571
150,2010-04-30,3,0.6551724137931034
151,2010-05-01,2,0.6
152,2010-05-02,2,0.8
153,2010-05-03,3,0.7777777777777778
154,2010-05-04,4,0.5833333333333334
155,2010-05-05,3,0.7727272727272727
156,2010-05-06,3,0.6538461538461539
157,2010-05-07,3,0.6071428571428571
158,2010-05-08,2,0.55
159,2010-05-09,2,0.45454545454545453
160,2010-05-10,4,0.782608695652174
161,2010-05-11,4,0.6
162,2010-05-12,3,0.7272727272727273
163,2010-05-13,3,0.5416666666666666
164,2010-05-14,3,0.68
165,2010-05-15,2,0.65
166,2010-05-16,2,0.6666666666666666
167,2010-05-17,4,0.7
168,2010-05-18,4,0.5833333333333334
169,2010-05-19,3,0.8125
170,2010-05-20,3,0.782608695652174
171,2010-05-21,3,0.8571428571428571
172,2010-05-22,2,0.75
173,2010-05-23,2,0.75
174,2010-05-24,5,0.5862068965517241
175,2010-05-25,4,0.5882352941176471
176,2010-05-26,3,0.5333333333333333
177,2010-05-27,3,0.6666666666666666
178,2010-05-28,3,0.6666666666666666
179,2010-05-29,2,0.55
180,2010-05-30,2,0.6
181,2010-05-31,2,0.5882352941176471
182,2010-06-01,3,0.65
183,2010-06-02,3,0.7619047619047619
184,2010-06-03,3,0.76
185,2010-06-04,3,0.4375
186,2010-06-05,3,0.64
187,2010-06-06,2,0.631578947368421
188,2010-06-07,3,0.7407407407407407
189,2010-06-08,3,0.6
190,2010-06-09,3,0.875
191,2010-06-10,3,0.7857142857142857
192,2010-06-11,3,0.88
